timestamp,hash_id,sweep_param,sweep_range,init_seed,period_seed,W_seed,m_noise_seed,phase_noise_seed,syn_noise_seed,N,D,lam,gamma,mean_period,std_period,W_prob,W_mu,W_std,sweep,std_phase_noise,dt,fastmath,std_m_noise
2026-05-17 01:29:19,b538f9a6,std_m_noise,0.000 to 4.000 (21 steps),42,142,242,342,442,542,100.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 01:41:06,e6d9a768,std_m_noise,0.000 to 4.000 (21 steps),42,142,242,342,442,542,200.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 01:42:23,322d85da,std_m_noise,0.000 to 4.000 (21 steps),42,142,242,342,442,542,500.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 01:45:42,c6adba14,std_m_noise,0.000 to 10.000 (51 steps),42,142,242,342,442,542,500.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 01:48:38,cec07f7d,std_m_noise,0.000 to 10.000 (51 steps),42,142,242,342,442,542,100.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 01:49:46,a9239293,std_m_noise,0.000 to 4.200 (22 steps),42,142,242,342,442,542,100.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 01:50:53,f5acf078,std_m_noise,0.000 to 4.800 (25 steps),42,142,242,342,442,542,100.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 01:51:33,86baf4ba,std_m_noise,0.000 to 4.400 (45 steps),42,142,242,342,442,542,100.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 01:52:35,c916ea04,std_m_noise,0.000 to 4.000 (41 steps),42,142,242,342,442,542,100.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 01:55:37,57dc4585,std_m_noise,0.000 to 6.000 (31 steps),42,142,242,342,442,542,100.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 02:01:28,4eaade4c,std_m_noise,0.000 to 6.000 (31 steps),42,142,242,344,442,542,100.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 02:01:53,53e05e57,std_m_noise,0.000 to 3.000 (31 steps),42,142,242,344,442,542,100.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 02:02:19,f1af4e0c,std_m_noise,0.000 to 3.200 (33 steps),42,142,242,344,442,542,100.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 02:02:46,ae9dcbd2,std_m_noise,0.000 to 3.500 (36 steps),42,142,242,344,442,542,100.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 02:03:41,f7b310af,std_m_noise,0.000 to 3.500 (36 steps),42,142,242,342,442,542,100.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 02:04:10,0b1a58ac,std_m_noise,0.000 to 5.000 (51 steps),42,142,242,342,442,542,100.0,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,
2026-05-17 02:06:59,b3836899,N,50.000 to 500.000 (10 steps),42,142,242,342,442,542,,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,0.0
2026-05-17 02:08:29,3c2c5458,N,50.000 to 1050.000 (11 steps),42,142,242,342,442,542,,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,0.0
2026-05-17 02:11:15,8666d143,N,20.000 to 1000.000 (50 steps),42,142,242,342,442,542,,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,0.0
2026-05-17 02:26:04,00cf6f44,N,200.000 to 5000.000 (25 steps),42,142,242,342,442,542,,10,0.1,0.0,23.5,0.0,0.2,0.2,0,True,0.05,0.1,False,0.0
